字词	拼音	词频
的	de	4828294
了	le	1500186
我	wo	1192789
是	shi	1180957
在	zai	974740
你	ni	973526
和	he	664874
有	you	613906
不	bu	590643
就	jiu	558432
也	ye	404388
都	dou	401877
要	yao	396900
吧	ba	385205
好	hao	378543
一个	yi ge	373855
他	ta	343908
说	shuo	338803
去	qu	330876
没有	mei you	325559
我们	wo men	322329
可以	ke yi	304372
到	dao	296879
什么	shen me	295403
没	mei	295035
上	shang	284918
对	dui	279642
还	hai	279642
那	na	269381
这个	zhe ge	253424
人	ren	250285
呵呵	he he	249662
现在	xian zai	246263
个	ge	245957
看	kan	245039
中	zhong	243213
呢	ne	239902
自己	zi ji	239007
来	lai	233997
吗	ma	220136
就是	jiu shi	211267
为	wei	210479
会	hui	208391
她	ta	204022
与	yu	202250
回复日期	hui fu ri qi	199248
给	gei	191937
等	deng	182604
这	zhe	178109
不是	bu shi	173509
怎么	zen me	173077
用	yong	168186
还是	hai shi	166934
把	ba	165484
下	xia	163638
恩	en	162015
能	neng	161410
很	hen	160208
他们	ta men	156264
如果	ru guo	155100
多	duo	154137
做	zuo	154137
知道	zhi dao	144465
时候	shi hou	143389
想	xiang	141790
被	bei	138128
点	dian	137956
问题	wen ti	137270
而	er	135908
后	hou	134560
一	yi	134392
又	you	132893
这样	zhe yang	131084
已经	yi jing	129784
从	cong	126905
哈哈	ha ha	121640
因为	yin wei	121338
再	zai	120734
将	jiang	119239
公司	gong si	118498
时	shi	117616
那个	na ge	117323
但	dan	115581
过	guo	111897
么	me	110511
今天	jin tian	109961
打	da	107925
工作	gong zuo	107925
中国	zhong guo	106588
大	da	106058
但是	dan shi	105663
年	nian	105268
不过	bu guo	103577
啦	la	102549
地	di	101785
可能	ke neng	100901
以	yi	100400
买	mai	100275
里	li	98050
让	rang	97928
应该	ying gai	97684
所以	suo yi	95995
你们	ni men	95399
一下	yi xia	94335
时间	shi jian	92935
小	xiao	92013
都是	dou shi	91784
着	zhe	87757
还有	hai you	86132
进行	jin xing	84537
先	xian	84326
觉得	jue de	83907
啊	a	83803
或	huo	83282
需要	xu yao	82765
不能	bu neng	80727
呀	ya	79232
并	bing	79035
开始	kai shi	78154
找	zhao	78056
新	xin	77282
及	ji	77186
东西	dong xi	77090
那么	na me	76230
得	de	75568
跟	gen	74632
这么	zhe me	74446
于	yu	73708
喜欢	xi huan	72704
比较	bi jiao	72343
太	tai	71180
嘛	ma	70738
号	hao	70299
日	ri	70124
才	cai	69949
然后	ran hou	69601
发	fa	69515
一些	yi xie	69428
可	ke	68911
不会	bu hui	68739
比	bi	68654
大家	da jia	67803
玩	wan	67131
很多	hen duo	66548
们	men	65806
最	zui	65806
看到	kan dao	65642
不要	bu yao	65478
月	yue	65397
吃	chi	65315
真	zhen	65153
一样	yi yang	64748
这些	zhe xie	62997
也是	ye shi	62372
感觉	gan jue	61600
看看	kan kan	59859
其实	qi shi	59636
出来	chu lai	59118
它	ta	58897
朋友	peng you	58897
其	qi	58168
明天	ming tian	58168
只是	zhi shi	58095
以后	yi hou	58095
话	hua	57807
这里	zhe li	57305
而且	er qie	56949
系统	xi tong	56454
通过	tong guo	56313
一定	yi ding	56103
请	qing	55964
使用	shi yong	55824
钱	qian	55755
一起	yi qi	55755
叫	jiao	55685
出	chu	55547
开	kai	54927
企业	qi ye	54722
或者	huo zhe	54518
发展	fa zhan	54045
市场	shi chang	54045
哈	ha	53642
一直	yi zhi	53242
北京	bei jing	53176
其他	qi ta	52912
当	dang	52846
好像	hao xiang	52780
家	jia	52256
向	xiang	52126
产品	chan pin	51481
这种	zhe zhong	51161
事情	shi qing	51097
的人	de ren	50970
为什么	wei shen me	50907
发现	fa xian	50590
地方	di fang	50276
希望	xi wang	50276
只有	zhi you	50276
情况	qing kuang	50151
问	wen	49777
之	zhi	49530
要求	yao qiu	49284
电话	dian hua	49100
更	geng	48734
信息	xin xi	48673
该	gai	48251
别	bie	48130
走	zou	48130
快	kuai	48011
多少	duo shao	47891
提供	ti gong	47772
一般	yi ban	47653
谢谢	xie xie	47594
回来	hui lai	47004
主要	zhu yao	46887
前	qian	46770
不错	bu cuo	46770
生活	sheng huo	46770
上海	shang hai	46654
由	you	46538
高	gao	45167
目前	mu qian	45167
您	nin	44386
直接	zhi jie	44386
所有	suo you	44275
加	jia	44110
天	tian	44055
所	suo	44055
晚上	wan shang	43945
技术	ji shu	43401
却	que	43347
已	yi	43347
方面	fang mian	43347
出现	chu xian	43293
虽然	sui ran	43131
支持	zhi chi	43078
为了	wei le	43078
价格	jia ge	42438
美国	mei guo	42227
是不是	shi bu shi	42122
我的	wo de	41860
谁	shui	41704
选择	xuan ze	41445
以前	yi qian	41394
项目	xiang mu	41136
非常	fei chang	41085
里面	li mian	40932
内	nei	40881
写	xie	40881
别人	bie ren	40576
啥	sha	40526
国家	guo jia	40475
老	lao	39924
搞	gao	39924
你的	ni de	39676
以及	yi ji	39676
同时	tong shi	39627
对于	dui yu	39578
两个	liang ge	39430
准备	zhun bei	39430
管理	guan li	39332
一点	yi dian	39136
事	shi	38942
肯定	ken ding	38942
只	zhi	38748
这是	zhe shi	38748
拿	na	38603
认为	ren wei	38603
昨天	zuo tian	38603
服务	fu wu	38555
带	dai	38459
成为	cheng wei	38459
最后	zui hou	38459
网站	wang zhan	38411
如	ru	37936
哪里	na li	37936
起来	qi lai	37936
作为	zuo wei	37936
之后	zhi hou	37747
继续	ji xu	37700
手机	shou ji	37653
真的	zhen de	37606
不同	bu tong	37559
由于	you yu	37419
用户	yong hu	37419
结果	jie guo	37326
估计	gu ji	37233
最近	zui jin	36818
死	si	36726
影响	ying xiang	36726
学校	xue xiao	36498
孩子	hai zi	36407
好的	hao de	36136
设计	she ji	36001
任务	ren wu	35912
行	xing	35822
卖	mai	35689
关系	guan xi	35644
晕	yun	35555
部分	bu fen	35467
活动	huo dong	35379
地	de	35028
必须	bi xu	34984
网络	wang luo	34723
像	xiang	34680
研究	yan jiu	34680
当然	dang ran	34508
如何	ru he	34508
使	shi	34422
那些	na xie	34379
功能	gong neng	34251
可是	ke shi	34208
学生	xue sheng	33996
数据	shu ju	33827
告诉	gao su	33658
给我	gei wo	33658
